id,postsurvey_question_id,user_id,description,created_at
1257,1,5,"20 minutes","2015-12-25 02:51:47"
1258,2,5,Medium,"2015-12-25 02:51:47"
1259,1,9,00:28,"2015-12-25 02:57:21"
1260,2,9,Medium,"2015-12-25 02:57:21"
1261,3,9,,"2015-12-25 02:57:21"
1262,1,13,35:00,"2015-12-25 03:07:20"
1263,2,13,High,"2015-12-25 03:07:20"
1264,3,13,"The first few suggestions came rather quickly, and then I struggled to think of more ideas.","2015-12-25 03:07:20"
1265,1,14,"30 minutes","2015-12-25 03:34:36"
1266,2,14,Medium,"2015-12-25 03:34:36"
1267,3,14,,"2015-12-25 03:34:36"
1268,1,16,00:12,"2015-12-25 02:46:50"
1269,2,16,Easy,"2015-12-25 02:46:50"
1270,3,16,,"2015-12-25 02:46:50"
1271,1,17,00:40,"2015-12-25 03:04:54"
1272,2,17,High,"2015-12-25 03:04:54"
1273,3,17,,"2015-12-25 03:04:54"
1274,1,22,20,"2015-12-25 03:13:44"
1275,2,22,High,"2015-12-25 03:13:44"
1276,3,22,"fun survey - i hope to make enough money in my life to build a smart home!","2015-12-25 03:13:45"
1277,1,24,"about hour","2015-12-25 03:43:21"
1278,2,24,High,"2015-12-25 03:43:21"
1279,3,24,,"2015-12-25 03:43:22"
1280,1,25,"45 minuets ","2015-12-25 03:30:54"
1281,2,25,Medium,"2015-12-25 03:30:54"
1282,3,25,good,"2015-12-25 03:30:55"
1283,1,26,00:45,"2015-12-25 03:32:45"
1284,2,26,High,"2015-12-25 03:32:45"
1285,3,26,,"2015-12-25 03:32:45"
1286,1,27,"20-25 Minutes","2015-12-25 05:11:22"
1287,2,27,Medium,"2015-12-25 05:11:22"
1288,3,27,,"2015-12-25 05:11:22"
1289,1,28,00:15,"2015-12-25 03:21:42"
1290,2,28,Easy,"2015-12-25 03:21:42"
1291,3,28,"I didn't track the time it took for me to come up with ideas on the main task so i made an estimate.","2015-12-25 03:21:42"
1292,1,30,"01:15 Hours","2015-12-25 04:14:16"
1293,2,30,Medium,"2015-12-25 04:14:16"
1294,3,30,"Very good survey ","2015-12-25 04:14:16"
1295,1,34,00:40,"2015-12-25 03:25:31"
1296,2,34,Easy,"2015-12-25 03:25:31"
1297,3,34,,"2015-12-25 03:25:31"
1298,1,37,00:47,"2015-12-25 04:55:37"
1299,2,37,Medium,"2015-12-25 04:55:37"
1300,3,37,,"2015-12-25 04:55:37"
1301,1,38,"It took me about 15 minutes","2015-12-25 03:32:20"
1302,2,38,High,"2015-12-25 03:32:20"
1303,3,38,None,"2015-12-25 03:32:20"
1304,1,39,01:15,"2015-12-25 04:09:42"
1305,2,39,High,"2015-12-25 04:09:42"
1306,3,39,"Very good study. Instructions were clear. ","2015-12-25 04:09:42"
1307,1,40,00:25,"2015-12-25 03:49:40"
1308,2,40,Medium,"2015-12-25 03:49:40"
1309,3,40,,"2015-12-25 03:49:40"
1310,1,41,"40 mins","2015-12-25 04:16:27"
1311,2,41,High,"2015-12-25 04:16:27"
1312,3,41,,"2015-12-25 04:16:27"
1313,1,42,"40 minutes","2015-12-25 04:03:06"
1314,2,42,"Very high","2015-12-25 04:03:06"
1315,3,42,,"2015-12-25 04:03:06"
1316,1,43,00:30,"2015-12-25 04:08:56"
1317,2,43,High,"2015-12-25 04:08:56"
1318,3,43,,"2015-12-25 04:08:56"
1319,1,46,"40 minutes","2015-12-25 05:07:19"
1320,2,46,Medium,"2015-12-25 05:07:19"
1321,3,46,"interesting task","2015-12-25 05:07:19"
1322,1,49,00:40,"2015-12-25 06:02:37"
1323,2,49,"Very high","2015-12-25 06:02:37"
1324,3,49,,"2015-12-25 06:02:37"
1325,1,51,00:20,"2015-12-25 05:59:03"
1326,2,51,Medium,"2015-12-25 05:59:03"
1327,3,51,,"2015-12-25 05:59:03"
1328,1,53,00:25,"2015-12-25 08:09:11"
1329,2,53,Medium,"2015-12-25 08:09:11"
1330,3,53,"No Comments.","2015-12-25 08:09:11"
1331,1,54,"about 15 minutes.","2015-12-25 13:24:45"
1332,2,54,Medium,"2015-12-25 13:24:45"
1333,3,54,,"2015-12-25 13:24:45"
1334,1,56,"15 minutes and 26 seconds.","2015-12-25 13:18:11"
1335,2,56,Medium,"2015-12-25 13:18:11"
1336,3,56,"It was hard to think of things because so many are available on the market today.","2015-12-25 13:18:11"
1337,1,59,"about 20 minutes","2015-12-25 13:30:44"
1338,2,59,Medium,"2015-12-25 13:30:44"
1339,3,59,,"2015-12-25 13:30:44"
1340,1,60,"40 minutes","2015-12-25 13:48:01"
1341,2,60,High,"2015-12-25 13:48:01"
1342,3,60,,"2015-12-25 13:48:01"
1343,1,61,00:28,"2015-12-25 13:37:34"
1344,2,61,Medium,"2015-12-25 13:37:34"
1345,3,61,,"2015-12-25 13:37:34"
1346,1,62,00:30,"2015-12-25 13:32:14"
1347,2,62,Medium,"2015-12-25 13:32:14"
1348,3,62,,"2015-12-25 13:32:14"
1349,1,63,00.30,"2015-12-25 13:43:03"
1350,2,63,Medium,"2015-12-25 13:43:03"
1351,3,63,good,"2015-12-25 13:43:03"
1352,1,65,"30 minutes","2015-12-25 13:59:35"
1353,2,65,Medium,"2015-12-25 13:59:35"
1354,3,65,,"2015-12-25 13:59:35"
1355,1,66,20,"2015-12-25 14:06:27"
1356,2,66,"Very easy","2015-12-25 14:06:27"
1357,3,66,,"2015-12-25 14:06:27"
1358,1,68,"I guess about 30 minutes. ","2015-12-25 13:51:06"
1359,2,68,Medium,"2015-12-25 13:51:06"
1360,3,68,"It was pretty fun. ","2015-12-25 13:51:06"
1361,1,69,"About 15 minutes","2015-12-25 13:31:11"
1362,2,69,Medium,"2015-12-25 13:31:11"
1363,3,69,Thanks!,"2015-12-25 13:31:11"
1364,1,72,45m,"2015-12-25 14:01:38"
1365,2,72,High,"2015-12-25 14:01:38"
1366,3,72,"Interesting but perhaps more concrete examples are needed to Jumpstart thoughts","2015-12-25 14:01:38"
1367,1,73,"I didn't time myself. At least 30 minutes, probably more.","2015-12-25 14:57:29"
1368,2,73,Medium,"2015-12-25 14:57:29"
1369,3,73,,"2015-12-25 14:57:29"
1370,1,74,"40 minutes","2015-12-25 14:15:21"
1371,2,74,High,"2015-12-25 14:15:21"
1372,3,74,,"2015-12-25 14:15:22"
