id,presurvey_question_id,user_id,description,created_at
3637,1,5,Male,"2015-12-25 02:30:37"
3638,2,5,"35 to 45","2015-12-25 02:30:37"
3639,3,5,"Bachelor degree","2015-12-25 02:30:37"
3640,4,5,English,"2015-12-25 02:30:37"
3641,5,5,"Yes; for less than a year","2015-12-25 02:30:37"
3642,6,5,Medium,"2015-12-25 02:30:37"
3643,7,5,Medium,"2015-12-25 02:30:37"
3644,8,5,No,"2015-12-25 02:30:37"
3645,9,5,,"2015-12-25 02:30:37"
3646,1,9,Male,"2015-12-25 02:31:57"
3647,2,9,"25 to 34","2015-12-25 02:31:57"
3648,3,9,"Some college but no degree","2015-12-25 02:31:57"
3649,4,9,"Computer Science","2015-12-25 02:31:57"
3650,5,9,"Yes; for less than a year","2015-12-25 02:31:57"
3651,6,9,High,"2015-12-25 02:31:57"
3652,7,9,High,"2015-12-25 02:31:57"
3653,8,9,Yes,"2015-12-25 02:31:57"
3654,9,9,"I own a Nest Cam and an Amazon Echo","2015-12-25 02:31:58"
3655,1,13,Female,"2015-12-25 02:34:26"
3656,2,13,"45 to 54","2015-12-25 02:34:26"
3657,3,13,"Bachelor degree","2015-12-25 02:34:26"
3658,4,13,"Business Administration","2015-12-25 02:34:27"
3659,5,13,No,"2015-12-25 02:34:27"
3660,6,13,Medium,"2015-12-25 02:34:27"
3661,7,13,Medium,"2015-12-25 02:34:27"
3662,8,13,No,"2015-12-25 02:34:27"
3663,9,13,"I currently rent an apartment, and cannot change appliances and technologies. I hope to purchase a home next year.","2015-12-25 02:34:27"
3664,1,14,Female,"2015-12-25 02:32:53"
3665,2,14,"25 to 34","2015-12-25 02:32:53"
3666,3,14,"Bachelor degree","2015-12-25 02:32:53"
3667,4,14,Anthropology,"2015-12-25 02:32:53"
3668,5,14,No,"2015-12-25 02:32:53"
3669,6,14,Medium,"2015-12-25 02:32:53"
3670,7,14,Medium,"2015-12-25 02:32:53"
3671,8,14,No,"2015-12-25 02:32:53"
3672,9,14,"I do not use these technologies, but am familiar with them as I am a member of a makerspace that has them and has introduced us to their usage, possibilities, and ways to improve or experiment with them.","2015-12-25 02:32:53"
3673,1,16,Male,"2015-12-25 02:32:56"
3674,2,16,"18 to 24","2015-12-25 02:32:56"
3675,3,16,"Bachelor degree","2015-12-25 02:32:56"
3676,4,16,"Computer Science","2015-12-25 02:32:56"
3677,5,16,"Yes; for less than a year","2015-12-25 02:32:56"
3678,6,16,"Very high","2015-12-25 02:32:56"
3679,7,16,Medium,"2015-12-25 02:32:56"
3680,8,16,No,"2015-12-25 02:32:56"
3681,9,16,,"2015-12-25 02:32:56"
3682,1,17,Male,"2015-12-25 02:33:16"
3683,2,17,"18 to 24","2015-12-25 02:33:16"
3684,3,17,"Bachelor degree","2015-12-25 02:33:16"
3685,4,17,"Computer science ","2015-12-25 02:33:16"
3686,5,17,"Yes; for one to five years","2015-12-25 02:33:16"
3687,6,17,"Very high","2015-12-25 02:33:16"
3688,7,17,High,"2015-12-25 02:33:16"
3689,8,17,Yes,"2015-12-25 02:33:17"
3690,9,17,,"2015-12-25 02:33:17"
3691,1,22,Male,"2015-12-25 02:53:54"
3692,2,22,"25 to 34","2015-12-25 02:53:54"
3693,3,22,"Bachelor degree","2015-12-25 02:53:54"
3694,4,22,communications,"2015-12-25 02:53:54"
3695,5,22,No,"2015-12-25 02:53:54"
3696,6,22,Medium,"2015-12-25 02:53:54"
3697,7,22,Low,"2015-12-25 02:53:54"
3698,8,22,No,"2015-12-25 02:53:54"
3699,9,22,,"2015-12-25 02:53:55"
3700,1,24,Male,"2015-12-25 02:46:40"
3701,2,24,"35 to 45","2015-12-25 02:46:40"
3702,3,24,"Graduate degree","2015-12-25 02:46:40"
3703,4,24,Economics,"2015-12-25 02:46:40"
3704,5,24,No,"2015-12-25 02:46:40"
3705,6,24,High,"2015-12-25 02:46:40"
3706,7,24,High,"2015-12-25 02:46:40"
3707,8,24,"Not sure","2015-12-25 02:46:40"
3708,9,24,,"2015-12-25 02:46:40"
3709,1,25,Female,"2015-12-25 02:49:55"
3710,2,25,"18 to 24","2015-12-25 02:49:55"
3711,3,25,"Some college but no degree","2015-12-25 02:49:55"
3712,4,25,"computer engineering ","2015-12-25 02:49:55"
3713,5,25,"Yes; for less than a year","2015-12-25 02:49:55"
3714,6,25,Medium,"2015-12-25 02:49:55"
3715,7,25,Medium,"2015-12-25 02:49:55"
3716,8,25,No,"2015-12-25 02:49:55"
3717,9,25,,"2015-12-25 02:49:55"
3718,1,26,Female,"2015-12-25 02:48:38"
3719,2,26,"18 to 24","2015-12-25 02:48:38"
