id,user_id,role,feature,benefit,application_domain,application_domain_other,tags,created_at,show_other,duplicate_of
11,5,worker,"my smart home to be able to order delivery food by simple voice command","I can prepare dinner easily after a long day at work",Health,,"food, delivery, dinner, voice","2015-12-25 02:35:06",1,0
12,5,"home occupant","my smart home to turn on certain lights at dusk","I can come home to a well-lit house",Energy,,"lights, turn on, night","2015-12-25 02:35:55",1,0
13,5,worker,"my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work","I can be relaxed",Entertainment,,"music, biorhythm, mood","2015-12-25 02:37:00",1,0
14,16,"tv fan","my smart home to to ring when my favorite shows are about to start","I will never miss a minute of my favorite shows",Entertainment,,television,"2015-12-25 02:37:47",1,0
15,9,student,"Class Reminders","I won't be late for class",Energy,,"school, classes, student","2015-12-25 02:38:03",1,0
16,9,"pet owner","Video feed of my animals","I know they are safe when I'm away",Safety,,"Dogs, Cats, Pets, Safety","2015-12-25 02:38:37",1,0
17,5,"home occupant","my smart home to regulate ideal temperature according to my personal preferences and the outside temperature","I can be comfortable",Energy,,"thermostat, regulate","2015-12-25 02:38:37",1,0
18,16,"working parent","my smart home to send me a text when my kid gets home from school","I can feel comfortable knowing that they made it home safely that day",Safety,,"school, children","2015-12-25 02:38:39",1,0
19,16,"hockey fan","my smart home to play my team's goal home when they score","I can immerse myself in a full home sports experience",Entertainment,,"sports, hockey","2015-12-25 02:39:16",1,0
20,5,parent,"my smart home to keep me up to date about my children's activities when I'm out of the home","I can know they're safe and positively occupied",Safety,,"child, monitor, status","2015-12-25 02:39:27",1,0
21,5,parent,"my smart home to send me a push notification when my kids arrive home from school","I can know they made it home safety",Safety,,"child, arrival, departure, front door, status, update","2015-12-25 02:40:03",1,0
22,16,cook,"shut the stove off for me","I can work on other things while the food is cooking",Energy,,cooking,"2015-12-25 02:40:05",1,0
23,5,"home occupant","my smart home to have a certain television show start on my TV when I arrive home","I can immediately jump into watching it.",Entertainment,,"television, automatic","2015-12-25 02:41:00",1,0
24,16,"home occupant","my smart home to buzz when the shower is warm to my desired temperature","I can know when it is optimal for me to get in",Health,,shower,"2015-12-25 02:41:08",1,0
25,5,"home occupant","my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up","I can start my day more efficiently",Health,,"morning, alarm, lights, shower","2015-12-25 02:41:50",1,0
26,16,"home occupant","my smart home to shut off the sink after two minutes when brushing my teeth","I know I have brushed my teeth for at least the minimum required amount of time",Health,,"teeth, sink","2015-12-25 02:41:56",1,0
27,16,parent,"my smart home to lock the doors at night","my teenage children cannot sneak out",Safety,,teenagers,"2015-12-25 02:42:31",1,0
28,5,"home occupant","my alarm to be synced to food preparation, so that my breakfast food can be on the table (or at least ready in the toaster or oven) when I'm ready to eat it","I can start my day more efficiently",Health,,food,"2015-12-25 02:42:39",1,0
29,9,"music fan","Music available throughout the house","I don't have to limit my audio listening to a single room",Entertainment,,"Music, Songs, Entertainment","2015-12-25 02:42:40",1,0
31,16,"home occupant","my smart home to adjust the temperature based on the weather outside","I can save on my energy bill by not using the AC unnecessarily ",Energy,,thermostat,"2015-12-25 02:43:25",1,0
33,5,driver,"my smart home to open my garage door when it senses my vehicle arriving outside of it","I don't have to worry about carrying a remote control opener",Other,Convenience,"garage door, opener, sensor","2015-12-25 02:43:50",1,0
34,16,"home occupant","my smart home to shut the lights off for me in rooms with nobody in them","I can save on electricity on my bills",Energy,,"electricity, lights","2015-12-25 02:43:55",1,0
35,17,"home occupant","my smart home to have auto sprinklers","automatically watering of plants occurs",Energy,,"sprinkler,automatic","2015-12-25 02:44:34",1,0
37,13,"home owner","my smart home to monitor my energy use and make recommendations to reduce energy consumption","I will save money on my energy bill.",Energy,,,"2015-12-25 02:45:00",1,0
38,16,parent,"my smart home to buzz my room if there is a disturbance in my baby's room","I can make sure I can be there in case my baby needs anything",Safety,,baby,"2015-12-25 02:45:07",1,0
39,9,"home owner","Control over Temperature at any time","I can save money on my electricity bill",Energy,,"temperature, energy, home","2015-12-25 02:45:14",1,0
