id,created_at,created_phase,created_batch,rating_bundle,completion_code
5,"2015-12-25 02:30:13",1,1,0,i5Zt87ix
9,"2015-12-25 02:30:22",1,1,0,Tn7Hd0Wo
13,"2015-12-25 02:31:02",1,1,0,BHc7c0gS
14,"2015-12-25 02:31:03",1,1,0,2h30IzBF
16,"2015-12-25 02:31:51",1,1,0,PtYW5ew6
17,"2015-12-25 02:32:01",1,1,0,PTeZd9yV
22,"2015-12-25 02:43:12",1,1,0,pwtawc8Z
24,"2015-12-25 02:45:54",1,1,0,ti33Rnyj
25,"2015-12-25 02:45:57",1,1,0,HTjLW4cx
26,"2015-12-25 02:47:15",1,1,0,TjHE8Kon
27,"2015-12-25 02:52:54",1,1,0,vPxw1S6S
28,"2015-12-25 02:55:38",1,1,0,ozAu31YJ
30,"2015-12-25 03:01:09",1,1,0,Stp09Tzy
34,"2015-12-25 03:05:29",1,1,0,Ld3ysR51
37,"2015-12-25 03:16:07",1,1,0,DS6TpxXz
38,"2015-12-25 03:16:08",1,1,0,sKtHKmE6
39,"2015-12-25 03:31:35",1,1,0,i3oDzNAW
40,"2015-12-25 03:32:23",1,1,0,xgLEZD8h
41,"2015-12-25 03:37:33",1,1,0,xsplrBvh
42,"2015-12-25 03:52:22",1,1,0,u0zIJlqE
43,"2015-12-25 03:58:21",1,1,0,qIEsgVeI
46,"2015-12-25 04:25:19",1,1,0,1TMORQ71
49,"2015-12-25 05:05:24",1,1,0,5FqqUWvC
51,"2015-12-25 05:17:52",1,1,0,QxX3tanu
53,"2015-12-25 08:00:18",1,1,0,WJvfZoIa
54,"2015-12-25 13:02:49",1,2,0,ig9XTjA5
56,"2015-12-25 13:02:52",1,2,0,GHDIa7X3
59,"2015-12-25 13:03:19",1,2,0,woVq1lf1
60,"2015-12-25 13:03:26",1,2,0,I5ABwcOP
61,"2015-12-25 13:03:27",1,2,0,2ELgxgEp
62,"2015-12-25 13:04:10",1,2,0,2JB2t2ZN
63,"2015-12-25 13:04:18",1,2,0,8VnXwogW
65,"2015-12-25 13:09:47",1,2,0,EguLiufq
66,"2015-12-25 13:16:39",1,2,0,qMyaCJiC
68,"2015-12-25 13:18:09",1,2,0,zR7UQfRF
69,"2015-12-25 13:18:21",1,2,0,xF4zZqCd
72,"2015-12-25 13:24:32",1,2,0,rnvPZRKa
73,"2015-12-25 13:29:38",1,2,0,GQyCDoCV
74,"2015-12-25 13:40:19",1,2,0,4lqLlOVp
75,"2015-12-25 13:59:38",1,2,0,nsRVMOCM
79,"2015-12-25 15:05:35",1,2,0,RpPPxLh5
82,"2015-12-25 15:10:20",1,2,0,7ANDZsha
84,"2015-12-25 15:13:48",1,2,0,X6uuWrrg
85,"2015-12-25 15:18:55",1,2,0,FjDMRoCT
87,"2015-12-25 15:27:38",1,2,0,EqDtdQZx
88,"2015-12-25 15:30:41",1,2,0,Yns4qMH3
91,"2015-12-25 16:03:18",1,2,0,BrbkZtiv
92,"2015-12-25 16:08:20",1,2,0,EAaSoe2q
93,"2015-12-25 17:27:47",1,2,0,chZtwWjC
102,"2015-12-26 05:20:58",1,2,0,Lmfxm8fQ
106,"2015-12-27 15:30:33",2,3,0,sgOkjiiZ
108,"2015-12-27 15:30:52",2,3,0,1a9Z8pt0
109,"2015-12-27 15:31:10",2,3,0,zaV1g8MC
111,"2015-12-27 15:31:32",2,3,0,cG1N5phc
113,"2015-12-27 15:33:20",2,3,0,u9rZB0I1
114,"2015-12-27 15:33:39",2,3,0,Gn8KxBgF
115,"2015-12-27 15:33:39",2,3,0,plRDKWUQ
116,"2015-12-27 15:33:52",2,3,0,GhMzriFX
117,"2015-12-27 15:36:22",2,3,0,KoGxzDon
119,"2015-12-27 15:44:32",2,3,0,4JS3PHGH
120,"2015-12-27 15:46:24",2,3,0,UJJnqCX5
122,"2015-12-27 15:48:35",2,3,0,6OVWKDBj
123,"2015-12-27 16:00:25",2,3,0,RybFQ4rp
126,"2015-12-27 17:26:10",2,3,0,7M4nmL6u
128,"2015-12-27 17:45:55",2,3,0,syyukfbn
129,"2015-12-27 19:31:53",2,3,0,zQvwCd14
130,"2015-12-27 19:38:47",2,3,0,oQ5dG4qv
131,"2015-12-27 20:00:36",2,3,0,c5lFwU8o
132,"2015-12-27 22:31:04",2,3,0,n61dffyM
133,"2015-12-27 23:16:18",2,3,0,LQ1hL4XJ
135,"2015-12-27 23:52:14",2,4,0,dgKYDjua
136,"2015-12-27 23:52:19",2,4,0,UZMCKysa
139,"2015-12-27 23:52:55",2,4,0,XjATytBu
141,"2015-12-27 23:53:26",2,4,0,EdkUHqp4
142,"2015-12-27 23:53:27",2,4,0,ApI16S7m
144,"2015-12-27 23:55:37",2,4,0,DS9XitFQ
145,"2015-12-28 00:03:40",2,4,0,7GQhIKM3
146,"2015-12-28 00:05:29",2,4,0,MirjgjMo
147,"2015-12-28 00:13:30",2,4,0,RGSP7b0D
150,"2015-12-28 00:22:49",2,4,0,pBy9eGam
151,"2015-12-28 00:23:58",2,4,0,9cPa0FEQ
152,"2015-12-28 00:26:18",2,4,0,zFAniy6P
154,"2015-12-28 01:36:05",2,4,0,9kqbtCnK
155,"2015-12-28 01:59:03",2,4,0,sS3tahDn
156,"2015-12-28 02:52:45",2,4,0,mtW09uIp
157,"2015-12-28 02:54:01",2,4,0,6ut3eFNm
158,"2015-12-28 02:54:23",2,4,0,iBwUhMfG
159,"2015-12-28 02:54:36",2,4,0,rmUlI3zB
160,"2015-12-28 03:07:53",2,4,0,RFe010KX
162,"2015-12-28 04:12:57",2,4,0,qPwg1T9W
166,"2015-12-28 11:31:08",2,5,0,CPa3q4M8
167,"2015-12-28 11:35:52",2,5,0,zaiyf6Yr
168,"2015-12-28 11:37:14",2,5,0,reVpEodN
169,"2015-12-28 11:37:53",2,5,0,f1DRtdD5
170,"2015-12-28 11:40:09",2,5,0,V47N9FWF
173,"2015-12-28 11:47:32",2,5,0,Z7KBW01F
174,"2015-12-28 12:01:41",2,5,0,ByQGnBeP
175,"2015-12-28 12:08:08",2,5,0,5j6Vyehg
176,"2015-12-28 12:09:45",2,5,0,FN5aGZVy
177,"2015-12-28 12:15:13",2,5,0,T778l89H
181,"2015-12-28 12:51:10",2,5,0,qMWfDiS2
182,"2015-12-28 13:11:52",2,5,0,Tzchkedm
184,"2015-12-28 13:31:27",2,5,0,eNivHC6j
185,"2015-12-28 13:33:51",2,5,0,sWCRA4Zr
188,"2015-12-28 14:31:03",2,5,0,vv7CwybA
190,"2015-12-28 15:10:28",2,5,0,6f81fxti
191,"2015-12-28 15:11:19",2,5,0,LbrphS7q
192,"2015-12-28 15:28:00",2,5,0,FPFKtkGg
193,"2015-12-28 17:07:17",2,5,0,FTLPO4zy
195,"2015-12-28 18:39:24",2,5,0,cUAGfdcD
202,"2015-12-28 20:08:50",2,6,0,bzsHgITX
205,"2015-12-28 20:11:56",2,6,0,5qgFGeiT
206,"2015-12-28 20:14:31",2,6,0,aFYUMZda
208,"2015-12-28 20:20:29",2,6,0,RgO6baK3
209,"2015-12-28 20:22:35",2,6,0,ZoATmaQo
212,"2015-12-28 20:25:02",2,6,0,7X9WmmX1
214,"2015-12-28 20:27:37",2,6,0,hKEG9Gv1
218,"2015-12-28 20:54:15",2,6,0,UeaVqKzk
219,"2015-12-28 20:55:59",2,6,0,jWq45r63
220,"2015-12-28 20:58:45",2,6,0,a2XfgZNF
221,"2015-12-28 21:12:04",2,6,0,RjoLJNPK
222,"2015-12-28 21:40:02",2,6,0,sqbpLLx1
224,"2015-12-28 22:02:48",2,6,0,MSyYDCfk
225,"2015-12-28 22:15:37",2,6,0,2BDPAtyR
226,"2015-12-28 22:24:39",2,6,0,cv4sDCcQ
227,"2015-12-28 23:07:10",2,6,0,Q27OuIuJ
228,"2015-12-28 23:07:54",2,6,0,gM2lTj4b
230,"2015-12-28 23:08:33",2,6,0,RvMxZfuj
232,"2015-12-28 23:09:34",2,6,0,7pchadw3
233,"2015-12-28 23:10:58",2,6,0,Yv1pLsrm
235,"2015-12-29 00:31:49",2,6,0,bt1VJ2GW
237,"2015-12-29 00:40:40",2,6,0,8FfE6qiX
239,"2015-12-29 01:07:20",2,6,0,KSktv8fh
240,"2015-12-29 02:50:19",2,7,0,Tyf7PC4u
241,"2015-12-29 02:50:20",2,7,0,BU1jCzdm
242,"2015-12-29 02:50:20",2,7,0,S7AnpvN2
246,"2015-12-29 02:50:56",2,7,0,ZrsB7EUL
247,"2015-12-29 02:50:59",2,7,0,lvcx7npq
251,"2015-12-29 02:51:18",2,7,0,I6rZOG6k
252,"2015-12-29 02:51:22",2,7,0,fIsWJAD9
254,"2015-12-29 02:51:26",2,7,0,PIy5feTF
256,"2015-12-29 02:51:30",2,7,0,KzbKGnbQ
258,"2015-12-29 02:51:52",2,7,0,3SgWLjgQ
259,"2015-12-29 02:54:13",2,7,0,5vevwjHO
261,"2015-12-29 02:55:04",2,7,0,mBDZWXcS
262,"2015-12-29 02:57:05",2,7,0,UtJuqbHM
263,"2015-12-29 02:57:35",2,7,0,hqofn9sq
264,"2015-12-29 02:58:55",2,7,0,jhr5ZDe9
270,"2015-12-29 03:23:19",2,7,0,TT03m4ug
271,"2015-12-29 03:23:22",2,7,0,SdbrWlFj
273,"2015-12-29 03:27:33",2,7,0,pixASDBj
274,"2015-12-29 03:28:34",2,7,0,IJrM1PAJ
276,"2015-12-29 03:58:00",2,7,0,yL0c7XVg
279,"2015-12-29 04:26:12",2,7,0,R6I6xrWm
280,"2015-12-29 04:42:35",2,7,0,8yF7uS5O
281,"2015-12-29 04:48:28",2,7,0,sL9jMN2V
283,"2015-12-29 05:06:43",2,7,0,z2E7iSfp
284,"2015-12-29 05:30:14",2,7,0,MPUBk6Lj
286,"2015-12-29 11:26:12",2,8,0,dSTyy2ZD
287,"2015-12-29 11:26:26",2,8,0,CUAdVX2F
289,"2015-12-29 11:27:15",2,8,0,dkSx7Ahc
290,"2015-12-29 11:27:52",2,8,0,Qu0DziQS
293,"2015-12-29 11:32:05",2,8,0,RtSgKZ9b
294,"2015-12-29 11:33:54",2,8,0,dE0oPhKE
296,"2015-12-29 11:39:51",2,8,0,xJtPgpp8
297,"2015-12-29 11:45:37",2,8,0,R0Xzu1wl
